Company/Candidate Name,Analytics,Business,Coding,DevOps,ML/AI,Marketing,Maths,Prod_mgmt.,Security_Network,Soft_Skills,WebD
International Dairy Product JSC - IDP,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
International School Ho Chi Minh City,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
Intrepid Asia,1.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,3.0
Ivoclar,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
JDA WMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0
JLL,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
JTI (Japan Tobacco International),0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Jabil,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jaspal Group,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Jaxtina English Center,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Jenfi Vietnam,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Jobs via eFinancialCareers,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0
"Jollibee Vietnam Co., Ltd",0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0
KASIKORNBANK,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
KFC Vietnam,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
KHUMSUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
KONE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSTAR New Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KTI Talent Indicator,4.0,25.0,19.0,43.0,2.0,6.0,3.0,2.0,2.0,90.0,35.0
Katalon,2.0,5.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0
Keppel (Real Estate Division – Vietnam),1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Knight Frank,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Kuehne+Nagel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
L'Oréal,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
LEMAN,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
LHH Vietnam,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
